date,nav
2020-04-03,100000000.0
2020-04-07,100000000.0
2020-04-08,100000000.0
2020-04-09,100000000.0
2020-04-10,100000000.0
2020-04-13,99865848.27929622
2020-04-14,101723974.48844913
2020-04-15,99256153.16146676
2020-04-16,98815164.79272786
2020-04-17,98203852.35968493
2020-04-20,100058873.40683876
2020-04-21,96396025.72637832
2020-04-22,97339443.91284078
2020-04-23,97166258.53273298
2020-04-24,95607397.44630226
2020-04-27,95161689.18276513
2020-04-28,93550587.9508847
2020-04-29,89096389.84599638
2020-04-30,93098225.4619669
2020-05-06,93470498.1881774
2020-05-07,95526947.07855506
2020-05-08,97815290.18893024
2020-05-11,95807762.94386923
2020-05-12,95900664.31282727
2020-05-13,96375779.53075284
2020-05-14,95182175.1859504
2020-05-15,94129822.41912085
2020-05-18,93169833.87051111
2020-05-19,93463526.70088032
2020-05-20,92105820.69780144
2020-05-21,91966299.69384442
2020-05-22,88834433.11904287
2020-05-25,88834988.63393684
2020-05-26,89440821.86096779
2020-05-27,89116335.2874301
2020-05-28,86983430.42214938
2020-05-29,86969106.67486061
2020-06-01,89819476.58627504
2020-06-02,89430048.5763067
2020-06-03,90438881.14314999
2020-06-04,91023299.38132867
2020-06-05,91012248.50401741
2020-06-08,90793304.01778218
2020-06-09,92849630.15283266
2020-06-10,92450897.3713157
2020-06-11,95417690.1414357
2020-06-12,97766831.2672699
2020-06-15,99194897.32109238
2020-06-16,105685556.97178438
2020-06-17,113322002.35520284
2020-06-18,115272726.22060557
2020-06-19,118437868.25940181
2020-06-22,119913496.38039869
2020-06-23,119074457.28708012
2020-06-24,118978611.94512741
2020-06-29,119018803.88078636
2020-06-30,122663498.82213104
2020-07-01,124791726.7499961
2020-07-02,129023302.43577175
2020-07-03,122525386.4956016
2020-07-06,136856470.83543345
2020-07-07,144846660.8247929
2020-07-08,137913042.62605482
2020-07-09,148491817.92058522
2020-07-10,140798135.29510936
2020-07-13,143337699.72592542
2020-07-14,142106500.14671224
2020-07-15,136246261.97493234
2020-07-16,130976966.56922534
2020-07-17,131395735.20519435
2020-07-20,131441129.81019591
2020-07-21,131405158.08185868
2020-07-22,131389253.13974656
2020-07-23,131209511.77536826
2020-07-24,122949584.11285026
2020-07-27,122865539.15627132
2020-07-28,123848673.73083228
2020-07-29,126335747.30511625
2020-07-30,127152432.2615707
2020-07-31,129516612.37776995
2020-08-03,143180969.97031587
2020-08-04,146536701.305419
2020-08-05,148474086.26238307
2020-08-06,144284388.88091946
2020-08-07,141707669.5350293
2020-08-10,143405373.83659375
2020-08-11,140034525.64725825
2020-08-12,140761957.04449952
2020-08-13,140278725.36406505
2020-08-14,143219628.7385065
2020-08-17,144721572.06297797
2020-08-18,146631576.52454197
2020-08-19,142593541.56716287
2020-08-20,138727651.4151057
2020-08-21,142288243.36488852
2020-08-24,144865275.62716475
2020-08-25,143093273.37886393
2020-08-26,133621937.42794201
2020-08-27,137339635.25575167
2020-08-28,142498682.38599753
2020-08-31,142667600.49124128
2020-09-01,141581915.20446786
2020-09-02,144011935.9477942
2020-09-03,142801331.35451677
2020-09-04,139148750.15072376
2020-09-07,133303398.67591928
2020-09-08,136218910.61460927
2020-09-09,138895901.57193765
2020-09-10,125346817.83791196
2020-09-11,123946910.83364657
2020-09-14,126450642.88417573
2020-09-15,129815352.381959
2020-09-16,132031152.82110572
2020-09-17,127423233.00073144
2020-09-18,125913882.12936999
2020-09-21,125710642.04018806
2020-09-22,119317405.07037298
2020-09-23,119702881.83055577
2020-09-24,112610173.72914164
2020-09-25,108019801.60205953
2020-09-28,108089486.10511059
2020-09-29,108013825.73341683
2020-09-30,109534221.72600007
2020-10-09,109575410.69300126
2020-10-12,86753974.75002529
2020-10-13,109325620.21857996
2020-10-14,107640048.4911146
2020-10-15,106069017.24120814
2020-10-16,107920981.67292662
2020-10-19,107764289.89526524
2020-10-20,108530535.6169227
2020-10-21,107961620.71278805
2020-10-22,108102179.51712796
2020-10-23,106697090.32144085
2020-10-26,106845038.1007765
2020-10-27,106664864.5912525
2020-10-28,105526871.57600605
2020-10-29,105041487.15120679
2020-10-30,103315673.82274806
2020-11-02,101637661.7020184
2020-11-03,101562047.06862774
2020-11-04,102834212.96131231
2020-11-05,105821615.31128158
2020-11-06,107466359.8771174
2020-11-09,109371727.16725709
2020-11-10,107927666.54575296
2020-11-11,107560387.5078708
2020-11-12,106481236.25874962
2020-11-13,106279226.46676722
2020-11-16,108318657.25858292
2020-11-17,108868774.02950506
2020-11-18,111242208.50162834
2020-11-19,108570253.97272839
2020-11-20,110022413.18450548
2020-11-23,114572193.52518663
2020-11-24,111522532.48346514
2020-11-25,109069155.11843696
2020-11-26,108587650.84794804
2020-11-27,107027789.51343362
2020-11-30,108846187.63778839
2020-12-01,109571945.8092292
2020-12-02,109445783.42746934
2020-12-03,109169108.200631
2020-12-04,113006227.89381254
2020-12-07,112935282.23619126
2020-12-08,111230281.81976809
2020-12-09,109602493.47176112
2020-12-10,109364939.83662648
2020-12-11,107095602.4091003
2020-12-14,103413708.8540867
2020-12-15,103164779.03149232
2020-12-16,103782282.69991767
2020-12-17,105500702.83376668
2020-12-18,106371552.25621372
2020-12-21,109473990.45464006
2020-12-22,103492948.00638157
