date,stock,action,shares,price,amount,fee,net_amount
2023-05-19,000958.SZ,buy,162100,3.648457446808501,591414.952127658,827.9809329787212,592242.9330606367
2023-05-19,688172.SH,buy,25400,23.25019122120818,590554.8570186878,826.7767998261629,591381.633818514
2023-05-19,603458.SH,buy,109200,5.4177254953076135,591615.6240875914,828.261873722628,592443.8859613141
2023-05-19,603038.SH,buy,127400,4.642902086137285,591505.7257738902,828.1080160834462,592333.8337899736
2023-05-19,301015.SZ,buy,48300,12.248245192307676,591590.2427884608,828.2263399038451,592418.4691283647
2023-05-19,920970.BJ,buy,63200,9.360400000000006,591577.2800000004,828.2081920000005,592405.4881920004
2023-05-19,600728.SH,buy,111400,5.308496900826459,591366.5547520675,827.9131766528945,592194.4679287205
2023-05-19,000816.SZ,buy,81400,7.266622516556271,591503.0728476804,828.1043019867526,592331.1771496672
2023-05-19,002471.SZ,buy,218100,2.7120312500000026,591494.0156250006,828.0916218750008,592322.1072468756
2023-05-19,600509.SH,buy,48600,12.15635388739942,590798.7989276119,827.1183184986567,591625.9172461106
2023-05-19,603616.SH,buy,189500,3.121077844311377,591444.2514970059,828.0219520958083,592272.2734491017
2023-05-19,603360.SH,buy,91400,6.471096691386201,591458.2375926988,828.0415326297783,592286.2791253286
2023-05-19,002580.SZ,buy,35700,16.56812500000003,591482.062500001,828.0748875000014,592310.1373875011
2023-05-19,001872.SZ,buy,31600,18.6828354725788,590377.6009334901,826.5286413068861,591204.129574797
2023-05-19,600015.SH,buy,121900,4.852058441558448,591465.9240259748,828.0522936363648,592293.9763196112
2023-05-19,920505.BJ,buy,31900,18.530570175438587,591125.1885964909,827.5752640350872,591952.763860526
2023-05-19,300182.SZ,buy,58200,10.162090163934392,591433.6475409816,828.0071065573743,592261.654647539
2023-05-19,601899.SH,buy,23700,24.92090526315797,590625.4547368438,826.8756366315813,591452.3303734754
2023-05-19,601689.SH,buy,3400,169.94728272827277,577820.7612761274,808.9490657865783,578629.7103419141
2023-05-19,300717.SZ,buy,39300,15.041952323476153,591148.7263126128,827.6082168376579,591976.3345294505
2023-05-19,002716.SZ,buy,190900,3.0994076655052245,591676.9233449474,828.3476926829263,592505.2710376304
2023-05-19,002240.SZ,buy,4100,144.1490589711428,591011.1417816855,827.4155984943598,591838.5573801799
2023-05-19,000592.SZ,buy,300000,1.972370242214532,591711.0726643596,828.3955017301034,592539.4681660897
2023-05-19,603220.SH,buy,61400,9.621646475770936,590769.0936123355,827.0767310572697,591596.1703433928
2023-05-19,001914.SZ,buy,48000,12.32432898773008,591567.7914110438,828.1949079754613,592395.9863190193
2023-05-19,002878.SZ,buy,63500,9.30677651747396,590980.3088595965,827.372432403435,591807.681292
2023-05-19,001216.SZ,buy,46300,12.762553743513694,590906.238324684,827.2687336545575,591733.5070583386
2023-05-19,300803.SZ,buy,9400,62.47714140644853,587285.1292206162,822.1991809088627,588107.328401525
2023-05-19,603070.SH,buy,27500,21.469605457227196,590414.1500737478,826.5798101032469,591240.7298838511
2023-05-19,605117.SH,buy,400,1333.229452810181,533291.7811240724,746.6084935737014,534038.3896176461
2023-05-19,002907.SZ,buy,39400,14.990002988643209,590606.1177525424,826.8485648535593,591432.9663173959
2023-05-19,300562.SZ,buy,101100,5.852684824902714,591706.4357976645,828.3890101167302,592534.8248077813
2023-05-19,603103.SH,buy,40000,14.757532944754182,590301.3177901673,826.4218449062342,591127.7396350736
2023-05-19,600569.SH,buy,341400,1.7329101562500049,591615.5273437516,828.2617382812523,592443.789082033
2023-05-19,600929.SH,buy,63700,9.287019667170958,591583.15279879,828.216413918306,592411.3692127083
2023-05-19,601198.SH,buy,107400,5.507442660550451,591499.3417431185,828.0990784403658,592327.4408215589
2023-05-19,301112.SZ,buy,30000,19.71881381892444,591564.4145677332,828.1901803948265,592392.6047481281
2023-05-19,605298.SH,buy,69300,8.536474164133752,591577.659574469,828.2087234042566,592405.8682978733
2023-05-19,300864.SZ,buy,171300,3.453075081315504,591511.7614293458,828.1164660010842,592339.877895347
2023-05-19,300819.SZ,buy,66100,8.951792626728103,591713.4926267277,828.3988896774188,592541.8915164052
2023-05-19,300548.SZ,buy,57500,10.286577208918253,591478.1895127995,828.0694653179193,592306.2589781175
2023-05-19,603995.SH,buy,24900,23.73079044117653,590896.6819852956,827.2553547794139,591723.937340075
2023-05-19,688293.SH,buy,24000,24.51430367808869,588343.2882741286,823.68060358378,589166.9688777124
2023-05-19,300946.SZ,buy,80100,7.387171610169491,591712.4459745763,828.3974243644068,592540.8433989407
2023-05-19,600808.SH,buy,248500,2.3810679611650465,591695.3883495141,828.3735436893197,592523.7618932035
2023-05-19,300948.SZ,buy,204900,2.8864304644999264,591429.6021760349,828.0014430464489,592257.6036190814
2023-05-19,000995.SZ,buy,51900,11.386117741935468,590939.5108064509,827.3153151290312,591766.82612158
2023-05-19,000802.SZ,buy,163000,3.630120603015069,591709.6582914562,828.3935216080387,592538.0518130643
2023-05-19,603126.SH,buy,41700,14.178222222222256,591231.8666666681,827.7246133333354,592059.5912800014
2023-05-19,300192.SZ,buy,43600,13.56489175977653,591429.2807262568,828.0009930167595,592257.2817192735
2023-05-19,603298.SH,buy,19400,30.34873554356203,588765.4695451034,824.2716573631448,589589.7412024665
2023-05-19,600678.SH,buy,176300,3.35545983701979,591567.569266589,828.1945969732246,592395.7638635623
2023-05-19,002749.SZ,buy,64200,9.206097904915383,591031.4854955676,827.4440796937946,591858.9295752614
2023-05-19,300468.SZ,buy,133800,4.422202797202775,591690.7342657313,828.3670279720238,592519.1012937033
2023-05-19,300878.SZ,buy,88600,6.675740375123391,591470.5972359325,828.0588361303055,592298.6560720628
2023-05-19,002524.SZ,buy,129100,4.580212665406436,591305.455103971,827.8276371455593,592133.2827411166
2023-05-19,002425.SZ,buy,117300,5.042183760683753,591448.1551282043,828.027417179486,592276.1825453838
2023-05-19,002021.SZ,buy,522600,1.132200000000003,591687.7200000016,828.3628080000022,592516.0828080017
2023-05-19,603860.SH,buy,18800,31.368840579710195,589734.2028985517,825.6278840579724,590559.8307826098
2023-05-19,600035.SH,buy,115900,5.103401162790703,591484.1947674425,828.0778726744195,592312.272640117
2023-05-19,002233.SZ,buy,127500,4.638580922595773,591419.0676309611,827.9866946833455,592247.0543256445
2023-05-19,688233.SH,buy,36800,16.042817470497695,590375.6829143151,826.5259560800412,591202.2088703952
2023-05-19,688468.SH,buy,133800,4.418348035284674,591174.9671210893,827.6449539695251,592002.6120750589
2023-05-19,000411.SZ,buy,40100,14.745920621931246,591311.416939443,827.8359837152202,592139.2529231582
2023-05-19,300707.SZ,buy,60700,9.744378705533602,591483.7874258896,828.0773023962455,592311.8647282859
2023-05-19,002795.SZ,buy,56600,10.4527242466713,591624.1923615956,828.2738693062338,592452.4662309019
2023-05-19,600138.SH,buy,45900,12.887648437500005,591543.0632812502,828.1602885937502,592371.223569844
2023-05-19,603279.SH,buy,15400,38.24647246244871,588995.6759217101,824.5939462903941,589820.2698680005
2023-05-19,300447.SZ,buy,19600,30.04934869739479,588967.2344689379,824.554128256513,589791.7885971944
2023-05-19,920553.BJ,buy,175800,3.3645390625000013,591485.9671875002,828.0803540625003,592314.0475415627
2023-05-19,600712.SH,buy,372500,1.5884505606523964,591697.8338430177,828.3769673802248,592526.210810398
2023-05-19,002927.SZ,buy,62100,9.51642892037129,590970.2359550571,827.3583303370799,591797.5942853942
2023-05-19,002222.SZ,buy,11000,53.36223851030095,586984.6236133104,821.7784730586345,587806.4020863691
2023-05-19,600053.SH,buy,91400,6.467718984626383,591149.5151948514,827.609321272792,591977.1245161243
2023-05-19,920608.BJ,buy,92700,6.380015000000002,591427.3905000002,827.9983467000003,592255.3888467002
2023-05-19,605028.SH,buy,38800,15.21684622918706,590413.6336924579,826.5790871694411,591240.2127796274
2023-05-19,002688.SZ,buy,146800,4.0289802130898025,591454.295281583,828.0360133942162,592282.3312949772
2023-05-19,002482.SZ,buy,1005700,0.5883112582781456,591664.632450331,828.3304854304633,592492.9629357615
