date,stock,shares,price,value
2023-05-19,000958.SZ,162100,3.648457446808501,591414.952127658
2023-05-19,688172.SH,25400,23.25019122120818,590554.8570186878
2023-05-19,603458.SH,109200,5.4177254953076135,591615.6240875914
2023-05-19,301015.SZ,48300,12.248245192307676,591590.2427884608
2023-05-19,603038.SH,127400,4.642902086137285,591505.7257738902
2023-05-19,920970.BJ,63200,9.360400000000006,591577.2800000004
2023-05-19,600728.SH,111400,5.308496900826459,591366.5547520675
2023-05-19,000816.SZ,81400,7.266622516556271,591503.0728476804
2023-05-19,002471.SZ,218100,2.7120312500000026,591494.0156250006
2023-05-19,600509.SH,48600,12.15635388739942,590798.7989276119
2023-05-19,603616.SH,189500,3.121077844311377,591444.2514970059
2023-05-19,603360.SH,91400,6.471096691386201,591458.2375926988
2023-05-19,002580.SZ,35700,16.56812500000003,591482.062500001
2023-05-19,001872.SZ,31600,18.6828354725788,590377.6009334901
2023-05-19,600015.SH,121900,4.852058441558448,591465.9240259748
2023-05-19,920505.BJ,31900,18.530570175438587,591125.1885964909
2023-05-19,300182.SZ,58200,10.162090163934392,591433.6475409816
2023-05-19,601899.SH,23700,24.92090526315797,590625.4547368438
2023-05-19,601689.SH,3400,169.94728272827277,577820.7612761274
2023-05-19,300717.SZ,39300,15.041952323476153,591148.7263126128
2023-05-19,002716.SZ,190900,3.0994076655052245,591676.9233449474
2023-05-19,002240.SZ,4100,144.1490589711428,591011.1417816855
2023-05-19,000592.SZ,300000,1.972370242214532,591711.0726643596
2023-05-19,603220.SH,61400,9.621646475770936,590769.0936123355
2023-05-19,001914.SZ,48000,12.32432898773008,591567.7914110438
2023-05-19,002878.SZ,63500,9.30677651747396,590980.3088595965
2023-05-19,001216.SZ,46300,12.762553743513694,590906.238324684
2023-05-19,300803.SZ,9400,62.47714140644853,587285.1292206162
2023-05-19,603070.SH,27500,21.469605457227196,590414.1500737478
2023-05-19,605117.SH,400,1333.229452810181,533291.7811240724
2023-05-19,002907.SZ,39400,14.990002988643209,590606.1177525424
2023-05-19,300562.SZ,101100,5.852684824902714,591706.4357976645
2023-05-19,603103.SH,40000,14.757532944754182,590301.3177901673
2023-05-19,600569.SH,341400,1.7329101562500049,591615.5273437516
2023-05-19,600929.SH,63700,9.287019667170958,591583.15279879
2023-05-19,601198.SH,107400,5.507442660550451,591499.3417431185
2023-05-19,301112.SZ,30000,19.71881381892444,591564.4145677332
2023-05-19,605298.SH,69300,8.536474164133752,591577.659574469
2023-05-19,300864.SZ,171300,3.453075081315504,591511.7614293458
2023-05-19,300819.SZ,66100,8.951792626728103,591713.4926267277
2023-05-19,300548.SZ,57500,10.286577208918253,591478.1895127995
2023-05-19,603995.SH,24900,23.73079044117653,590896.6819852956
2023-05-19,688293.SH,24000,24.51430367808869,588343.2882741286
2023-05-19,300946.SZ,80100,7.387171610169491,591712.4459745763
2023-05-19,600808.SH,248500,2.3810679611650465,591695.3883495141
2023-05-19,300948.SZ,204900,2.8864304644999264,591429.6021760349
2023-05-19,000995.SZ,51900,11.386117741935468,590939.5108064509
2023-05-19,000802.SZ,163000,3.630120603015069,591709.6582914562
2023-05-19,603126.SH,41700,14.178222222222256,591231.8666666681
2023-05-19,300192.SZ,43600,13.56489175977653,591429.2807262568
2023-05-19,002749.SZ,64200,9.206097904915383,591031.4854955676
2023-05-19,603298.SH,19400,30.34873554356203,588765.4695451034
2023-05-19,600678.SH,176300,3.35545983701979,591567.569266589
2023-05-19,300468.SZ,133800,4.422202797202775,591690.7342657313
2023-05-19,002524.SZ,129100,4.580212665406436,591305.455103971
2023-05-19,300878.SZ,88600,6.675740375123391,591470.5972359325
2023-05-19,002425.SZ,117300,5.042183760683753,591448.1551282043
2023-05-19,603860.SH,18800,31.368840579710195,589734.2028985517
2023-05-19,002021.SZ,522600,1.132200000000003,591687.7200000016
2023-05-19,600035.SH,115900,5.103401162790703,591484.1947674425
2023-05-19,002233.SZ,127500,4.638580922595773,591419.0676309611
2023-05-19,688233.SH,36800,16.042817470497695,590375.6829143151
2023-05-19,688468.SH,133800,4.418348035284674,591174.9671210893
2023-05-19,000411.SZ,40100,14.745920621931246,591311.416939443
2023-05-19,300707.SZ,60700,9.744378705533602,591483.7874258896
2023-05-19,600138.SH,45900,12.887648437500005,591543.0632812502
2023-05-19,603279.SH,15400,38.24647246244871,588995.6759217101
2023-05-19,002795.SZ,56600,10.4527242466713,591624.1923615956
2023-05-19,300447.SZ,19600,30.04934869739479,588967.2344689379
2023-05-19,920553.BJ,175800,3.3645390625000013,591485.9671875002
2023-05-19,600712.SH,372500,1.5884505606523964,591697.8338430177
2023-05-19,002927.SZ,62100,9.51642892037129,590970.2359550571
2023-05-19,002222.SZ,11000,53.36223851030095,586984.6236133104
2023-05-19,600053.SH,91400,6.467718984626383,591149.5151948514
2023-05-19,920608.BJ,92700,6.380015000000002,591427.3905000002
2023-05-19,605028.SH,38800,15.21684622918706,590413.6336924579
2023-05-19,002688.SZ,146800,4.0289802130898025,591454.295281583
2023-05-19,002482.SZ,1005700,0.5883112582781456,591664.632450331
2023-05-19,600279.SH,145400,4.069398249452941,591690.5054704576
2023-05-19,301259.SZ,45800,12.898676470588256,590759.3823529421
2023-05-19,002494.SZ,168300,3.514521452145217,591493.96039604
2023-05-19,000937.SZ,36100,16.37402173913042,591102.1847826082
2023-05-19,002535.SZ,235300,2.5143286219081227,591621.5247349812
2023-05-19,000605.SZ,98600,5.997571942446043,591360.5935251798
2023-05-19,688101.SH,63800,9.273489891518691,591648.6550788925
2023-05-19,605336.SH,75100,7.875241566609481,591430.6416523721
2023-05-19,300221.SZ,123500,4.790909090909086,591677.2727272721
2023-05-19,601588.SH,463700,1.2758633633633631,591617.8415915915
2023-05-19,000506.SZ,89000,6.648216723549483,591691.288395904
2023-05-19,603661.SH,21000,28.050447761194054,589059.4029850751
2023-05-19,601226.SH,49200,12.010187353629998,590901.2177985959
2023-05-19,688160.SH,20400,28.820038562664276,587928.7866783512
2023-05-19,603309.SH,23800,24.775789563437943,589663.791609823
2023-05-19,000680.SZ,101900,5.802993243243236,591325.0114864857
2023-05-19,603130.SH,29900,19.733767605633787,590039.6514084502
2023-05-19,002661.SZ,50000,11.816993918331864,590849.6959165932
2023-05-19,301109.SZ,58200,10.16507675087944,591607.4669011834
2023-05-19,301299.SZ,10600,55.34398798521266,586646.2726432541
2023-05-19,002774.SZ,82900,7.133311688311669,591351.5389610374
2023-05-19,600755.SH,61100,9.678714574898782,591369.4605263156
