factor,weight
ma_20_ratio,0.11127716481740843
ma_20_60_cross,0.0998990406600649
pre_close,0.08881338884347757
ma_10_20_cross,0.07995616642581242
ret_60d,0.06762228490404876
change,0.06515345618022898
ma_60_ratio,0.06415141547167733
ret_5d,0.06255269355762894
pct_chg,0.060775189081730296
ma_5_ratio,0.052456643030569315
ma_5_10_cross,0.049690280458152276
ma_5,0.03866431400806651
ma_10_ratio,0.03732521256659407
ma_20,0.036110652783616144
ma_10,0.033290151161446374
ret_20d,0.021359544285708767
ma_60,0.013128305464129311
daily_ret,0.011254529333820882
ret_10d,0.003536989963121186
ret_1d,0.0029825770026977285
