date,stock,shares,price,value
2020-04-07,002907.SZ,47400,18.83189479976091,892631.8135086672
2020-04-07,002246.SZ,113600,7.854592105263157,892281.6631578946
2020-04-07,600115.SH,298500,2.990529010238908,892672.909556314
2020-04-07,300447.SZ,73400,12.14843937875752,891695.450400802
2020-04-07,002524.SZ,134700,6.625586011342158,892466.4357277886
2020-04-07,002774.SZ,165800,5.384032467532464,892672.5831168825
2020-04-07,001914.SZ,28100,31.75485685071571,892311.4775051115
2020-04-07,601919.SH,299400,2.9813432835820883,892614.1791044773
2020-04-07,000826.SZ,122200,7.3050967741935455,892682.8258064513
2020-04-07,002033.SZ,158500,5.63125396825397,892553.7539682543
2020-04-07,603616.SH,130800,6.822000000000002,892317.6000000002
2020-04-07,603908.SH,43200,20.66307151230948,892644.6893317695
2020-04-07,300717.SZ,68500,13.031502715751358,892657.9360289681
2020-04-07,600834.SH,166500,5.361840696117804,892746.4759036144
2020-04-07,000920.SZ,171000,5.219635416666663,892557.6562499994
2020-04-07,300562.SZ,48000,18.59536964980544,892577.7431906612
2020-04-07,000958.SZ,260100,3.432553191489363,892807.0851063833
2020-04-07,603659.SH,16500,53.85092649982461,888540.2872471061
2020-04-07,600313.SH,137100,6.511725806451613,892757.6080645162
2020-04-07,300171.SZ,95500,9.343729281767953,892326.1464088395
2020-04-07,300674.SZ,16800,53.130687275985686,892595.5462365595
2020-04-07,300377.SZ,96500,9.245523012552304,892192.9707112974
2020-04-07,600872.SH,15200,58.517514109799855,889466.2144689577
2020-04-07,688101.SH,47400,18.81715976331359,891933.3727810641
2020-04-07,603103.SH,86200,10.351721996958952,892318.4361378617
2020-04-07,600177.SH,153400,5.818944986072428,892626.1608635104
2020-04-07,600015.SH,160300,5.567499999999999,892470.2499999999
2020-04-07,002222.SZ,97600,9.140031695721069,892067.0935023763
2020-04-07,002795.SZ,73200,12.186923615977562,892082.8086895576
2020-04-07,600509.SH,351000,2.5432439678284178,892678.6327077746
2020-04-07,002042.SZ,235200,3.795891891891892,892793.772972973
2020-04-07,600138.SH,112200,7.951777343749997,892189.4179687497
