date,total_value,cash
2020-04-03,100000000.0,100000000.0
2020-04-07,99861332.99871477,813474.9378661477
2020-04-08,97721353.54577757,5609.797454112413
2020-04-09,100178307.19319245,1861.5292321621519
2020-04-10,93831640.2309753,124196.74594109817
2020-04-13,89472689.3111922,1048.1385483768754
2020-04-14,90272975.06537247,1048.1385483768754
2020-04-15,86648150.4638529,1727.5698337087524
2020-04-16,86189862.66683272,1338.240666527527
2020-04-17,86562250.70799589,2733.311388250091
2020-04-20,82929128.44727474,1340.4737451339613
2020-04-21,80849000.80814819,1340.4737451339613
2020-04-22,81046142.16907236,1340.4737451339613
2020-04-23,81439962.57023232,1340.4737451339613
2020-04-24,77706998.71828257,9433.269623704646
2020-04-27,74297414.21902226,5499.994847013535
2020-04-28,70587873.8529671,1049311.8018018613
2020-04-29,69980242.59025471,348839.7186453872
2020-04-30,71852831.1669367,6092.774779190368
2020-05-06,72774679.80204855,3249.2572423264187
2020-05-07,72937723.1249629,3249.2572423264187
2020-05-08,72999561.21119258,2887.8801624269217
2020-05-11,71921727.541002,2527.3761624269214
2020-05-12,70326673.7585184,2527.3761624269214
2020-05-13,69689455.7995001,2594.220866570734
2020-05-14,68619839.32153541,2405.741817100769
2020-05-15,66929102.85836481,2405.741817100769
2020-05-18,63596864.8040936,15594.310876071988
2020-05-19,64937771.37436234,13877.062721335144
2020-05-20,62957386.5908258,4256.547085955739
2020-05-21,62539534.48465441,9964.320478757316
2020-05-22,58211255.415534906,3500.529939737855
2020-05-25,54270721.30865636,6804.683059525043
2020-05-26,54692570.77737642,5050.546566344381
2020-05-27,53044012.82809132,4399.030781981857
2020-05-28,52029412.97184152,4405.875770107325
2020-05-29,51237935.71386474,15058.52099496132
2020-06-01,54176297.61204339,3625.293470717836
2020-06-02,56476804.82678171,3905.151338059155
2020-06-03,55829043.27177137,3309.2408205236097
2020-06-04,56071047.51441426,8271.784721703516
2020-06-05,54161126.14006355,1939.1251933922904
2020-06-08,53964127.16080168,989.2856988501117
2020-06-09,54326119.91645683,989.2856988501117
2020-06-10,53817310.634268984,989.2856988501117
2020-06-11,52082890.71841739,989.2856988501117
2020-06-12,51160049.310015656,989.2856988501117
2020-06-15,51770839.6813201,7990.508423337364
2020-06-16,52348872.29299754,989.6067252216453
2020-06-17,51304119.81967586,1360.88927515244
2020-06-18,50363806.77966797,1105.9602090624744
2020-06-19,51237549.48748003,5403.174442937519
2020-06-22,52236539.75497652,4945.874924490918
2020-06-23,52805129.39640673,4945.874924490918
2020-06-24,51574646.78231255,16622.484969660472
2020-06-29,50016135.1681084,12767.563317957105
2020-06-30,51351133.718286194,11940.500799207106
2020-07-01,51207135.50811189,9851.590319494297
2020-07-02,50164074.534486786,8925.77624461278
2020-07-03,52373601.83096582,20685.144382907805
2020-07-06,49317273.76789652,3270.1994969758307
2020-07-07,51043402.95799041,4297.8186597938075
2020-07-08,52413536.93988682,29328.203967515354
2020-07-09,54724616.30465417,1940.7005236966443
2020-07-10,53948008.40094211,2003.968825894377
2020-07-13,46509173.36127734,2003.968825894377
2020-07-14,46591348.9371093,2003.968825894377
2020-07-15,43737467.4044736,36906.22935924232
2020-07-16,38080524.5768385,304110.8332230457
2020-07-17,37587749.163012125,50383.3066344729
2020-07-20,37524919.54886858,16157.993182039178
2020-07-21,37505285.28035664,9870.322241753607
2020-07-22,36839769.536938675,9378.697767564418
2020-07-23,36558851.75707007,15545.756788698216
2020-07-24,32678763.600187145,7662.490696882582
2020-07-27,30450931.00361655,7662.490696882582
2020-07-28,31140077.66410455,7662.490696882582
2020-07-29,33409088.22547432,7449.1434700075815
2020-07-30,33985845.307022884,7449.1434700075815
2020-07-31,34738957.186167374,7449.1434700075815
2020-08-03,35803653.63455348,7449.1434700075815
2020-08-04,35623649.71833392,7449.1434700075815
2020-08-05,34527757.532223955,29100.296537591817
2020-08-06,34125032.301584415,27387.166112135004
2020-08-07,32995040.54686731,27387.166112135004
2020-08-10,33178259.296540596,26930.125658025772
2020-08-11,31974175.303548325,25476.943805429106
2020-08-12,29708093.844112936,24683.79607457374
2020-08-13,28818227.929879945,23675.712669454286
2020-08-14,28550364.36194016,22677.473770549022
2020-08-17,29999111.78898218,22677.473770549022
2020-08-18,31221305.72281165,22677.473770549022
2020-08-19,30110658.98594078,22958.25982025818
2020-08-20,29629497.05165786,38361.08396569584
2020-08-21,31351487.971802246,37959.3263602199
2020-08-24,32372464.411966138,30615.88237927446
2020-08-25,32922977.743451357,51079.58545202178
2020-08-26,32229847.879444934,34665.84325658307
2020-08-27,34533123.19852515,28249.756424741692
2020-08-28,35341991.401341274,23759.578859442
2020-08-31,35641530.52017585,21991.526812195658
2020-09-01,33737963.77776474,16727.489837853955
2020-09-02,35349315.660760455,16019.122443845688
2020-09-03,33494454.81068198,16498.517849345688
2020-09-04,32295399.75869155,14266.430928966696
2020-09-07,32483978.147959348,16888.493380890992
2020-09-08,34403972.64783933,16888.493380890992
2020-09-09,32055212.40233725,33997.724217285184
2020-09-10,27141807.535801083,24275.807360735955
2020-09-11,27059797.170249626,3004.023394457754
2020-09-14,24160632.29699263,2463.5678144577532
2020-09-15,24173352.971922215,2463.5678144577532
2020-09-16,23686986.315943096,15695.169772256108
2020-09-17,24351528.797782462,2699.7573312741174
2020-09-18,24740086.984375525,1663.2606455598304
