date,stock,action,shares,price,amount,fee,net_amount
2020-04-07,002907.SZ,buy,47400,18.83189479976091,892631.8135086672,1249.684538912134,893881.4980475793
2020-04-07,002246.SZ,buy,113600,7.854592105263157,892281.6631578946,1249.1943284210524,893530.8574863158
2020-04-07,600115.SH,buy,298500,2.990529010238908,892672.909556314,1249.7420733788397,893922.6516296929
2020-04-07,300447.SZ,buy,73400,12.14843937875752,891695.450400802,1248.3736305611228,892943.8240313631
2020-04-07,002524.SZ,buy,134700,6.625586011342158,892466.4357277886,1249.453010018904,893715.8887378075
2020-04-07,002774.SZ,buy,165800,5.384032467532464,892672.5831168825,1249.7416163636356,893922.3247332462
2020-04-07,001914.SZ,buy,28100,31.75485685071571,892311.4775051115,1249.236068507156,893560.7135736187
2020-04-07,601919.SH,buy,299400,2.9813432835820883,892614.1791044773,1249.6598507462681,893863.8389552236
2020-04-07,000826.SZ,buy,122200,7.3050967741935455,892682.8258064513,1249.7559561290318,893932.5817625803
2020-04-07,002033.SZ,buy,158500,5.63125396825397,892553.7539682543,1249.575255555556,893803.3292238099
2020-04-07,603616.SH,buy,130800,6.822000000000002,892317.6000000002,1249.2446400000003,893566.8446400003
2020-04-07,603908.SH,buy,43200,20.66307151230948,892644.6893317695,1249.7025650644773,893894.391896834
2020-04-07,300717.SZ,buy,68500,13.031502715751358,892657.9360289681,1249.7211104405553,893907.6571394086
2020-04-07,600834.SH,buy,166500,5.361840696117804,892746.4759036144,1249.8450662650603,893996.3209698795
2020-04-07,000920.SZ,buy,171000,5.219635416666663,892557.6562499994,1249.5807187499993,893807.2369687494
2020-04-07,300562.SZ,buy,48000,18.59536964980544,892577.7431906612,1249.6088404669256,893827.3520311281
2020-04-07,000958.SZ,buy,260100,3.432553191489363,892807.0851063833,1249.9299191489367,894057.0150255323
2020-04-07,603659.SH,buy,16500,53.85092649982461,888540.2872471061,1243.9564021459485,889784.2436492521
2020-04-07,600313.SH,buy,137100,6.511725806451613,892757.6080645162,1249.8606512903227,894007.4687158066
2020-04-07,300171.SZ,buy,95500,9.343729281767953,892326.1464088395,1249.2566049723753,893575.4030138119
2020-04-07,300674.SZ,buy,16800,53.130687275985686,892595.5462365595,1249.6337647311834,893845.1800012907
2020-04-07,300377.SZ,buy,96500,9.245523012552304,892192.9707112974,1249.0701589958162,893442.0408702933
2020-04-07,600872.SH,buy,15200,58.517514109799855,889466.2144689577,1245.2527002565407,890711.4671692144
2020-04-07,688101.SH,buy,47400,18.81715976331359,891933.3727810641,1248.7067218934897,893182.0795029576
2020-04-07,603103.SH,buy,86200,10.351721996958952,892318.4361378617,1249.2458105930064,893567.6819484547
2020-04-07,600177.SH,buy,153400,5.818944986072428,892626.1608635104,1249.6766252089146,893875.8374887194
2020-04-07,600015.SH,buy,160300,5.567499999999999,892470.2499999999,1249.4583499999999,893719.70835
2020-04-07,002222.SZ,buy,97600,9.140031695721069,892067.0935023763,1248.893930903327,893315.9874332797
2020-04-07,002795.SZ,buy,73200,12.186923615977562,892082.8086895576,1248.9159321653806,893331.724621723
2020-04-07,600509.SH,buy,351000,2.5432439678284178,892678.6327077746,1249.7500857908844,893928.3827935656
2020-04-07,002042.SZ,buy,235200,3.795891891891892,892793.772972973,1249.911282162162,894043.6842551351
2020-04-07,600138.SH,buy,112200,7.951777343749997,892189.4179687497,1249.0651851562495,893438.483153906
2020-04-07,000045.SZ,buy,127300,7.010196850393694,892398.0590551172,1249.357282677164,893647.4163377944
2020-04-07,603038.SH,buy,64000,13.929973082099597,891518.2772543742,1248.125588156124,892766.4028425304
