date,stock,action,shares,price,amount,fee,net_amount
2020-04-07,002749.SZ,buy,88300,10.105584206285256,892323.0854149881,1249.2523195809833,893572.3377345691
2020-04-07,603995.SH,buy,53600,16.62695588235294,891204.8352941177,1247.6867694117648,892452.5220635295
2020-04-07,600053.SH,buy,37800,23.606699141937785,892333.2275652483,1249.2665185913474,893582.4940838397
2020-04-07,002927.SZ,buy,67500,13.211079628724963,891747.874938935,1248.447024914509,892996.3219638496
2020-04-07,300721.SZ,buy,45800,19.475709459459463,891987.4932432434,1248.7824905405407,893236.2757337841
2020-04-07,601689.SH,buy,51000,17.49815731573156,892406.0231023096,1249.3684323432333,893655.3915346528
2020-04-07,000816.SZ,buy,920800,0.9696026490066222,892810.1192052977,1249.9341668874167,894060.0533721851
2020-04-07,603616.SH,buy,130800,6.822000000000002,892317.6000000002,1249.2446400000003,893566.8446400003
2020-04-07,000411.SZ,buy,80700,11.061303191489351,892647.1675531906,1249.706034574467,893896.8735877651
2020-04-07,000031.SZ,buy,217000,4.113832872928179,892701.7334254149,1249.782426795581,893951.5158522106
2020-04-07,603093.SH,buy,46400,19.24007134914751,892739.3106004444,1249.8350348406223,893989.1456352852
2020-04-07,000002.SZ,buy,39500,22.57842521498772,891847.7959920149,1248.5869143888208,893096.3829064039
2020-04-07,600569.SH,buy,495600,1.80146484375,892805.9765625,1249.9283671875,894055.9049296876
2020-04-07,300674.SZ,buy,16800,53.130687275985686,892595.5462365595,1249.6337647311834,893845.1800012907
2020-04-07,000680.SZ,buy,310800,2.872216216216214,892684.7999999993,1249.7587199999991,893934.5587199994
2020-04-07,002580.SZ,buy,183200,4.871041666666664,892374.8333333329,1249.3247666666662,893624.1580999997
2020-04-07,600602.SH,buy,140600,6.349405469678954,892726.409036861,1249.8169726516055,893976.2260095127
2020-04-07,000826.SZ,buy,122200,7.3050967741935455,892682.8258064513,1249.7559561290318,893932.5817625803
2020-04-07,600279.SH,buy,291900,3.058698030634573,892833.9551422318,1249.9675371991245,894083.9226794309
2020-04-07,600313.SH,buy,137100,6.511725806451613,892757.6080645162,1249.8606512903227,894007.4687158066
2020-04-07,300707.SZ,buy,86300,10.342267786561257,892537.7099802365,1249.552793972331,893787.2627742089
2020-04-07,000605.SZ,buy,180000,4.9578129496402905,892406.3309352522,1249.3688633093532,893655.6997985616
