date,total_value,cash
2020-04-03,100000000.0,100000000.0
2020-04-07,99861333.09448397,813543.440132435
2020-04-08,97672361.13822497,5695.124935160013
2020-04-09,100142787.7829808,1662.9652387515475
2020-04-10,93792203.36365674,123998.18194768757
2020-04-13,89386987.04800104,2067.767495835833
2020-04-14,90206992.52087241,1689.4514316466439
2020-04-15,86554222.72746252,1081.8113973572617
2020-04-16,86099262.61926438,1081.8113973572617
2020-04-17,86460389.84792447,3472.18962786076
2020-04-20,82989689.23799948,1512.4311708176895
2020-04-21,81020630.40352361,1512.4311708176895
2020-04-22,81221057.29400493,1512.4311708176895
2020-04-23,81630794.96604101,1512.4311708176895
2020-04-24,77841671.39938816,9605.227049388366
2020-04-27,74356477.13980402,3739.375752256514
2020-04-28,70649244.7819972,1081635.2309421047
2020-04-29,70125358.84951897,302814.34717028384
2020-04-30,71973699.1960289,6728.964326855239
2020-05-06,72882917.23843262,3585.576962986209
2020-05-07,72985865.8856084,2713.777221204527
2020-05-08,73169302.09475096,2352.40014130503
2020-05-11,72202727.36341861,1991.8961413050297
2020-05-12,70545713.36339505,1991.8961413050297
2020-05-13,69979114.22897309,2058.7408454488423
2020-05-14,68925594.01325774,1870.2617959788774
2020-05-15,66504134.70964651,1870.2617959788774
2020-05-18,63228099.6242742,15155.86351754615
2020-05-19,64548303.73337581,13438.615362809305
2020-05-20,62642829.66389983,8127.758628380245
2020-05-21,62303703.513762504,10357.471157341837
2020-05-22,58008095.11806328,7690.232633162683
2020-05-25,54221560.831174046,6225.744150729097
2020-05-26,54638597.18646757,4471.607657548435
2020-05-27,53695121.29627503,4013.693851905635
2020-05-28,52644893.77925522,4020.538840031102
2020-05-29,51828472.349360965,14673.184064885121
2020-06-01,55123294.60865881,5712.092484726821
2020-06-02,57479669.96438392,5598.341275786734
2020-06-03,56836229.578689806,5002.430758251188
2020-06-04,57092020.47465105,9072.254902359025
2020-06-05,55106231.01383866,842.0177036938185
2020-06-08,54902241.46376472,610.088078491186
2020-06-09,55266734.06300198,610.088078491186
2020-06-10,54800564.65544046,610.088078491186
2020-06-11,53089554.1069177,610.088078491186
2020-06-12,52195950.12905945,610.088078491186
2020-06-15,52828869.89178614,7611.310802978536
2020-06-16,53503045.64418809,610.4091048627743
2020-06-17,52377706.41226685,981.6916547935834
2020-06-18,51419368.87003748,981.6916547935834
2020-06-19,52223463.1224909,5742.327376358126
2020-06-22,53194621.52098504,5056.378098688223
