feature,importance
amplitude,0.11435985034794167
amount_ratio,0.09109156812359773
hist_vol_20,0.07428907705979347
hist_vol_60,0.07375723921353072
auto_volatility_20_1,0.05459687939728847
auto_volatility_20,0.054049893522245866
amount,0.05171440007023469
turnover_rate,0.04711223675671431
auto_skew_30_1,0.04304419892618249
pct_chg,0.035302045564922314
daily_return,0.03438034156655091
vol,0.03407601092162178
close,0.025308323842804303
low,0.024635996091530762
auto_kurtosis_20_1,0.024465407925763908
auto_kurtosis_20,0.023492824395324918
open,0.022290342536824843
high,0.02202634505871938
pre_close,0.021102656828171976
auto_amount_ma_30,0.020647708858888864
auto_amount_ma_30_1,0.020176108681342484
auto_amount_ma_60,0.013335564692343545
auto_quantile_0.75_30,0.01234395345112467
auto_quantile_0.75_30_1,0.012244301417266212
auto_volatility_60,0.008384684420345994
auto_volatility_60_1,0.007831184448909402
auto_std_60,0.0063217489379876245
auto_std_60_1,0.006200586996007229
auto_open_ratio_60_1,0.005542439111610542
auto_open_log_return_60_1,0.005519793382604085
auto_open_ratio_60,0.0053528174262988905
auto_open_log_return_60,0.005003470025505983
