date,code,close,prediction
2024-01-23,000005.SZ,1.05,
2024-01-23,000011.SZ,8.84,
2024-01-23,000050.SZ,8.7,
2024-01-23,000422.SZ,9.11,
2024-01-23,000429.SZ,8.79,
2024-01-23,000609.SZ,5.45,
2024-01-23,000710.SZ,9.66,
2024-01-23,000856.SZ,7.51,
2024-01-23,000990.SZ,7.25,
2024-01-23,001211.SZ,20.99,
2024-01-23,002046.SZ,9.28,
2024-01-23,002068.SZ,9.27,
2024-01-23,002222.SZ,24.58,
2024-01-23,002248.SZ,6.93,
2024-01-23,002281.SZ,25.32,
2024-01-24,000005.SZ,1.04,
2024-01-24,000011.SZ,9.41,
2024-01-24,000025.SZ,17.43,
2024-01-24,000050.SZ,8.95,
2024-01-24,000422.SZ,9.16,
2024-01-24,000429.SZ,8.9,
2024-01-24,000609.SZ,5.84,
2024-01-24,000710.SZ,9.72,
2024-01-24,000856.SZ,7.81,
2024-01-24,000966.SZ,4.23,
2024-01-24,000990.SZ,7.5,
2024-01-24,001211.SZ,21.03,
2024-01-24,002046.SZ,9.59,
2024-01-24,002068.SZ,9.31,
2024-01-24,002222.SZ,24.68,
2024-01-25,000005.SZ,1.04,
2024-01-25,000011.SZ,9.66,
2024-01-25,000025.SZ,18.19,
2024-01-25,000050.SZ,9.28,
2024-01-25,000422.SZ,9.32,
2024-01-25,000429.SZ,8.83,
2024-01-25,000609.SZ,6.1,
2024-01-25,000710.SZ,10.07,
2024-01-25,000856.SZ,8.28,
2024-01-25,000966.SZ,4.45,
2024-01-25,000990.SZ,7.83,
2024-01-25,001211.SZ,22.2,
2024-01-25,002046.SZ,10.36,
2024-01-25,002068.SZ,9.45,
2024-01-25,002222.SZ,25.81,
2024-01-26,000005.SZ,1.06,
2024-01-26,000011.SZ,9.93,
2024-01-26,000025.SZ,17.49,
2024-01-26,000050.SZ,9.17,
2024-01-26,000422.SZ,9.25,
2024-01-26,000429.SZ,9.07,
2024-01-26,000609.SZ,6.19,
2024-01-26,000710.SZ,10.0,
2024-01-26,000856.SZ,8.52,
2024-01-26,000966.SZ,4.57,
2024-01-26,000990.SZ,7.92,
2024-01-26,001211.SZ,22.7,
2024-01-26,002046.SZ,10.29,
2024-01-26,002068.SZ,9.19,
2024-01-26,002222.SZ,25.46,
2024-01-29,000005.SZ,1.01,
2024-01-29,000011.SZ,9.53,
2024-01-29,000025.SZ,18.04,
2024-01-29,000050.SZ,8.99,
2024-01-29,000422.SZ,9.04,
2024-01-29,000429.SZ,9.11,
2024-01-29,000609.SZ,5.95,
2024-01-29,000710.SZ,9.61,
2024-01-29,000856.SZ,8.23,
2024-01-29,000966.SZ,4.47,
2024-01-29,000990.SZ,7.96,
2024-01-29,001211.SZ,21.62,
2024-01-29,002046.SZ,9.98,
2024-01-29,002068.SZ,8.91,
2024-01-29,002222.SZ,24.41,
2024-01-30,000005.SZ,0.99,
2024-01-30,000011.SZ,9.23,
2024-01-30,000025.SZ,16.8,
2024-01-30,000050.SZ,8.68,
2024-01-30,000422.SZ,8.89,
2024-01-30,000429.SZ,9.1,
2024-01-30,000609.SZ,5.72,
2024-01-30,000710.SZ,9.34,
2024-01-30,000856.SZ,7.95,
2024-01-30,000966.SZ,4.45,
2024-01-30,000990.SZ,7.61,
2024-01-30,001211.SZ,20.52,
2024-01-30,002046.SZ,9.89,
2024-01-30,002068.SZ,8.46,
2024-01-30,002222.SZ,23.91,
2024-01-31,000005.SZ,0.94,
2024-01-31,000011.SZ,8.6,
2024-01-31,000025.SZ,17.0,
2024-01-31,000050.SZ,8.32,
2024-01-31,000422.SZ,8.37,
2024-01-31,000429.SZ,9.14,
2024-01-31,000609.SZ,5.22,
2024-01-31,000856.SZ,7.76,
2024-01-31,000966.SZ,4.35,
2024-01-31,000990.SZ,7.31,
2024-01-31,002046.SZ,9.4,
2024-01-31,002068.SZ,7.76,
2024-01-31,002222.SZ,22.5,
2024-01-31,002248.SZ,6.02,
2024-01-31,002281.SZ,21.72,
2024-02-01,000005.SZ,0.89,
2024-02-01,000011.SZ,8.34,
2024-02-01,000050.SZ,8.2,
2024-02-01,000422.SZ,8.17,
2024-02-01,000429.SZ,9.15,
2024-02-01,000609.SZ,5.07,
2024-02-01,000710.SZ,8.19,
2024-02-01,000856.SZ,7.41,
2024-02-01,000966.SZ,4.2,
2024-02-01,000990.SZ,7.1,
2024-02-01,001211.SZ,17.63,
2024-02-01,002046.SZ,9.36,
2024-02-01,002068.SZ,7.59,
2024-02-01,002222.SZ,22.8,
2024-02-01,002248.SZ,5.99,
2024-02-02,000005.SZ,0.85,
2024-02-02,000011.SZ,8.35,
2024-02-02,000025.SZ,14.21,
2024-02-02,000050.SZ,7.84,
2024-02-02,000422.SZ,7.81,
2024-02-02,000429.SZ,9.35,
2024-02-02,000609.SZ,4.88,
2024-02-02,000710.SZ,7.78,
2024-02-02,000856.SZ,6.88,
2024-02-02,000966.SZ,4.05,
2024-02-02,000990.SZ,6.72,
2024-02-02,001211.SZ,16.21,
2024-02-02,002046.SZ,8.68,
2024-02-02,002068.SZ,7.16,
2024-02-02,002222.SZ,21.84,
2024-02-05,000005.SZ,0.81,
2024-02-05,000011.SZ,7.74,
2024-02-05,000050.SZ,7.59,
2024-02-05,000422.SZ,7.45,
2024-02-05,000429.SZ,9.75,
2024-02-05,000966.SZ,3.71,
2024-02-05,000990.SZ,6.14,
2024-02-05,002281.SZ,20.24,
2024-02-05,002367.SZ,5.73,
2024-02-05,002393.SZ,18.68,
2024-02-05,002471.SZ,2.32,
2024-02-05,002485.SZ,3.03,
2024-02-05,002709.SZ,16.63,
2024-02-05,002788.SZ,6.45,
2024-02-05,300034.SZ,12.82,
2024-02-06,000005.SZ,0.77,
2024-02-06,000011.SZ,7.89,
2024-02-06,000050.SZ,7.96,
2024-02-06,000422.SZ,7.9,
2024-02-06,000429.SZ,9.56,
2024-02-06,000609.SZ,4.0,
2024-02-06,000710.SZ,6.65,
2024-02-06,000856.SZ,6.0,
2024-02-06,000966.SZ,4.07,
2024-02-06,000990.SZ,6.56,
2024-02-06,001211.SZ,13.3,
2024-02-06,002046.SZ,8.13,
2024-02-06,002068.SZ,6.79,
2024-02-06,002222.SZ,20.45,
2024-02-06,002248.SZ,5.07,
2024-02-07,000005.SZ,0.73,
2024-02-07,000011.SZ,7.81,
2024-02-07,000025.SZ,14.39,
2024-02-07,000422.SZ,8.32,
2024-02-07,000429.SZ,9.56,
2024-02-07,000856.SZ,5.53,
2024-02-07,000966.SZ,4.14,
2024-02-07,000990.SZ,6.77,
2024-02-07,001211.SZ,12.36,
2024-02-07,002046.SZ,8.2,
2024-02-07,002068.SZ,7.08,
2024-02-07,002222.SZ,21.69,
2024-02-07,002248.SZ,4.89,
2024-02-07,002281.SZ,22.97,
2024-02-07,002367.SZ,6.01,
2024-02-08,000005.SZ,0.69,
2024-02-08,000011.SZ,8.2,
2024-02-08,000025.SZ,14.6,
2024-02-08,000050.SZ,9.18,
2024-02-08,000422.SZ,8.55,
2024-02-08,000429.SZ,9.5,
2024-02-08,000609.SZ,3.73,
2024-02-08,000710.SZ,6.32,
2024-02-08,000856.SZ,6.05,
2024-02-08,000966.SZ,4.28,
2024-02-08,000990.SZ,7.21,
2024-02-08,001211.SZ,13.15,
2024-02-08,002046.SZ,8.98,
2024-02-08,002222.SZ,22.38,
2024-02-08,002248.SZ,5.33,
2024-02-19,000005.SZ,0.66,
2024-02-19,000011.SZ,8.27,
2024-02-19,000025.SZ,15.14,
2024-02-19,000050.SZ,8.8,
2024-02-19,000422.SZ,8.71,
2024-02-19,000429.SZ,9.7,
2024-02-19,000609.SZ,3.88,
2024-02-19,000856.SZ,6.27,
2024-02-19,000966.SZ,4.29,
2024-02-19,000990.SZ,7.14,
2024-02-19,001211.SZ,13.79,
2024-02-19,002046.SZ,9.12,
2024-02-19,002068.SZ,7.64,
2024-02-19,002222.SZ,23.5,
2024-02-19,002248.SZ,5.52,
2024-02-20,000005.SZ,0.69,
2024-02-20,000011.SZ,8.29,
2024-02-20,000025.SZ,14.83,
2024-02-20,000050.SZ,8.83,
2024-02-20,000422.SZ,8.75,
2024-02-20,000429.SZ,9.91,
2024-02-20,000710.SZ,7.09,
2024-02-20,000856.SZ,6.36,
2024-02-20,000966.SZ,4.25,
2024-02-20,000990.SZ,7.12,
2024-02-20,001211.SZ,14.36,
2024-02-20,002046.SZ,9.04,
2024-02-20,002068.SZ,7.69,
2024-02-20,002222.SZ,23.47,
2024-02-20,002248.SZ,5.65,
2024-02-21,000005.SZ,0.72,
2024-02-21,000011.SZ,8.43,
2024-02-21,000025.SZ,14.88,
2024-02-21,000050.SZ,8.88,
2024-02-21,000422.SZ,8.74,
2024-02-21,000429.SZ,9.89,
2024-02-21,000609.SZ,4.57,
2024-02-21,000710.SZ,7.23,
2024-02-21,000856.SZ,6.54,
2024-02-21,000966.SZ,4.28,
2024-02-21,000990.SZ,7.18,
2024-02-21,001211.SZ,15.07,
2024-02-21,002046.SZ,9.19,
2024-02-21,002068.SZ,8.07,
2024-02-21,002222.SZ,23.51,
2024-02-22,000005.SZ,0.76,
2024-02-22,000011.SZ,8.45,
2024-02-22,000025.SZ,14.99,
2024-02-22,000050.SZ,8.91,
2024-02-22,000422.SZ,8.82,
2024-02-22,000429.SZ,10.02,
2024-02-22,000609.SZ,4.62,
2024-02-22,000710.SZ,7.56,
2024-02-22,000856.SZ,6.8,
2024-02-22,000966.SZ,4.33,
2024-02-22,000990.SZ,7.28,
2024-02-22,001211.SZ,15.53,
2024-02-22,002046.SZ,9.35,
2024-02-22,002068.SZ,8.55,
2024-02-22,002222.SZ,24.69,
2024-02-23,000005.SZ,0.8,
2024-02-23,000011.SZ,8.51,
2024-02-23,000025.SZ,15.18,
2024-02-23,000050.SZ,8.92,
2024-02-23,000422.SZ,8.84,
2024-02-23,000429.SZ,9.88,
2024-02-23,000609.SZ,4.72,
2024-02-23,000710.SZ,7.96,
2024-02-23,000856.SZ,7.06,
2024-02-23,000966.SZ,4.34,
2024-02-23,000990.SZ,7.37,
2024-02-23,001211.SZ,16.12,
2024-02-23,002046.SZ,9.7,
2024-02-23,002068.SZ,9.17,
2024-02-23,002222.SZ,25.0,
2024-02-26,000005.SZ,0.84,
2024-02-26,000011.SZ,8.39,
2024-02-26,000025.SZ,15.29,
2024-02-26,000050.SZ,8.96,
2024-02-26,000422.SZ,8.8,
2024-02-26,000429.SZ,9.49,
2024-02-26,000609.SZ,4.81,
2024-02-26,000710.SZ,8.19,
2024-02-26,000856.SZ,7.29,
2024-02-26,000966.SZ,4.31,
2024-02-26,000990.SZ,7.33,
2024-02-26,001211.SZ,16.72,
2024-02-26,002046.SZ,10.13,
2024-02-26,002068.SZ,9.05,
2024-02-26,002222.SZ,25.45,
2024-02-27,000005.SZ,0.88,
2024-02-27,000011.SZ,8.53,
2024-02-27,000025.SZ,15.8,
2024-02-27,000050.SZ,9.17,
2024-02-27,000422.SZ,8.94,
2024-02-27,000429.SZ,9.52,
2024-02-27,000609.SZ,5.08,
2024-02-27,000710.SZ,8.54,
2024-02-27,000856.SZ,7.46,
2024-02-27,000966.SZ,4.34,
2024-02-27,000990.SZ,7.42,
2024-02-27,001211.SZ,17.11,
2024-02-27,002046.SZ,10.4,
2024-02-27,002068.SZ,9.14,
2024-02-27,002222.SZ,26.43,
2024-02-28,603927.SH,26.96,0.036371033638715744
2024-02-28,600021.SH,8.25,0.034711919724941254
2024-02-28,600131.SH,15.82,0.034158289432525635
2024-02-28,603160.SH,59.96,0.031191227957606316
