factor,ic,ic_abs,p_value,n_obs
auto_volatility_20_processed,0.0843882807515693,0.0843882807515693,2.2560182375378396e-38,23479
auto_volatility_20_1_processed,0.0843882807515693,0.0843882807515693,2.2560182375378396e-38,23479
hist_vol_60_processed,-0.07306209724592114,0.07306209724592114,3.6588953845094903e-29,23479
hist_vol_20_processed,0.07258595649116122,0.07258595649116122,8.347747116676819e-29,23479
auto_kurtosis_20_1_processed,0.07179162383336064,0.07179162383336064,3.2658033780004036e-28,23479
auto_kurtosis_20_processed,0.07179162383336064,0.07179162383336064,3.2658033780004036e-28,23479
rsi_12_processed,0.06157984386870304,0.06157984386870304,3.579469083025069e-21,23479
highest_lowest_pos_processed,0.0591006506359148,0.0591006506359148,1.265049118179678e-19,23479
auto_open_ratio_60_1_processed,-0.056831451634345866,0.056831451634345866,2.9131644509566015e-18,23479
auto_open_ratio_60_processed,-0.056831451634345866,0.056831451634345866,2.9131644509566015e-18,23479
auto_open_log_return_60_processed,-0.056346335021794355,0.056346335021794355,5.6078337697363434e-18,23479
auto_open_log_return_60_1_processed,-0.056346335021794355,0.056346335021794355,5.6078337697363434e-18,23479
auto_volume_price_corr_auto_20_processed,-0.05611742426418171,0.05611742426418171,7.623906177949117e-18,23479
auto_vol_price_corr_20_1_processed,-0.05611742426418171,0.05611742426418171,7.623906177949117e-18,23479
auto_vol_price_corr_20_processed,-0.05611742426418171,0.05611742426418171,7.623906177949117e-18,23479
auto_low_ratio_60_1_processed,-0.054113239845463096,0.054113239845463096,1.0647442328044391e-16,23479
auto_low_ratio_60_processed,-0.054113239845463096,0.054113239845463096,1.0647442328044391e-16,23479
auto_low_log_return_60_processed,-0.053767853688112696,0.053767853688112696,1.6613374174274386e-16,23479
auto_low_log_return_60_1_processed,-0.053767853688112696,0.053767853688112696,1.6613374174274386e-16,23479
ma_dev_20_processed,0.05231008390871841,0.05231008390871841,1.053459310638597e-15,23479
auto_high_ratio_60_processed,-0.05213989239205868,0.05213989239205868,1.3027581004970554e-15,23479
auto_high_ratio_60_1_processed,-0.05213989239205868,0.05213989239205868,1.3027581004970554e-15,23479
auto_high_log_return_60_1_processed,-0.05157944882293746,0.05157944882293746,2.6094986441338257e-15,23479
auto_high_log_return_60_processed,-0.05157944882293746,0.05157944882293746,2.6094986441338257e-15,23479
auto_quantile_ratio_0.1_20_processed,0.05107626397069878,0.05107626397069878,4.8385691115329755e-15,23479
auto_quantile_ratio_0.1_20_1_processed,0.05107626397069878,0.05107626397069878,4.8385691115329755e-15,23479
auto_price_ema_ratio_60_1_processed,-0.05092295586836338,0.05092295586836338,5.8332310118406296e-15,23479
auto_price_ema_ratio_60_processed,-0.05092295586836338,0.05092295586836338,5.8332310118406296e-15,23479
auto_close_ratio_60_1_processed,-0.05091041785920128,0.05091041785920128,5.922960028114004e-15,23479
auto_close_ratio_60_processed,-0.05091041785920128,0.05091041785920128,5.922960028114004e-15,23479
auto_volatility_60_processed,-0.0508661023407303,0.0508661023407303,6.25112844360616e-15,23479
auto_volatility_60_1_processed,-0.0508661023407303,0.0508661023407303,6.25112844360616e-15,23479
auto_close_log_return_60_1_processed,-0.050350612294363155,0.050350612294363155,1.1665986085826963e-14,23479
auto_close_log_return_60_processed,-0.050350612294363155,0.050350612294363155,1.1665986085826963e-14,23479
auto_ma_cross_20_processed,0.04645327219664149,0.04645327219664149,1.068094158019534e-12,23479
auto_ma_cross_20_1_processed,0.04645327219664149,0.04645327219664149,1.068094158019534e-12,23479
auto_vol_price_corr_10_processed,-0.0454978467308418,0.0454978467308418,3.062814819754314e-12,23479
auto_volume_price_corr_auto_10_processed,-0.0454978467308418,0.0454978467308418,3.062814819754314e-12,23479
auto_vol_price_corr_10_1_processed,-0.0454978467308418,0.0454978467308418,3.062814819754314e-12,23479
rsi_24_processed,0.04519214995097149,0.04519214995097149,4.271334528225554e-12,23479
auto_volatility_10_1_processed,0.04319604719813345,0.04319604719813345,3.55313699890601e-11,23479
auto_volatility_10_processed,0.04319604719813345,0.04319604719813345,3.55313699890601e-11,23479
auto_open_log_return_5_1_processed,-0.04223892049079983,0.04223892049079983,9.49659059554848e-11,23479
auto_open_log_return_5_processed,-0.04223892049079983,0.04223892049079983,9.49659059554848e-11,23479
auto_open_ratio_5_processed,-0.04206754441625553,0.04206754441625553,1.1299115911985462e-10,23479
auto_open_ratio_5_1_processed,-0.04206754441625553,0.04206754441625553,1.1299115911985462e-10,23479
auto_amount_ma_ratio_30_1_processed,0.041554917968146844,0.041554917968146844,1.8925802088768217e-10,23479
auto_amount_ma_ratio_30_processed,0.041554917968146844,0.041554917968146844,1.8925802088768217e-10,23479
auto_amount_ma_ratio_20_processed,0.04135837245907185,0.04135837245907185,2.3027280283499736e-10,23479
auto_amount_ma_ratio_20_1_processed,0.04135837245907185,0.04135837245907185,2.3027280283499736e-10,23479
mom_20_processed,-0.04096524995172954,0.04096524995172954,3.399938054843211e-10,23479
auto_volume_ma_ratio_30_processed,0.04086964863780935,0.04086964863780935,3.7358599154678703e-10,23479
auto_volume_ma_ratio_30_1_processed,0.04086964863780935,0.04086964863780935,3.7358599154678703e-10,23479
auto_volume_ma_ratio_20_processed,0.04046473236684451,0.04046473236684451,5.5550615598159e-10,23479
auto_volume_ma_ratio_20_1_processed,0.04046473236684451,0.04046473236684451,5.5550615598159e-10,23479
auto_high_log_return_5_processed,-0.03992439206911118,0.03992439206911118,9.376801124633808e-10,23479
auto_high_log_return_5_1_processed,-0.03992439206911118,0.03992439206911118,9.376801124633808e-10,23479
auto_std_60_1_processed,-0.03978620734765691,0.03978620734765691,1.0708562090449075e-09,23479
auto_std_60_processed,-0.03978620734765691,0.03978620734765691,1.0708562090449075e-09,23479
auto_high_ratio_5_1_processed,-0.03967069738686281,0.03967069738686281,1.1961808690007096e-09,23479
auto_high_ratio_5_processed,-0.03967069738686281,0.03967069738686281,1.1961808690007096e-09,23479
auto_std_ratio_5_1_processed,0.03963620047140735,0.03963620047140735,1.236305290411239e-09,23479
auto_std_ratio_5_processed,0.03963620047140735,0.03963620047140735,1.236305290411239e-09,23479
amihud_processed,0.03927647759233219,0.03927647759233219,1.7411388707173006e-09,23479
bollinger_band_processed,0.038444431886775,0.038444431886775,3.800494352127541e-09,23479
auto_quantile_0.1_5_processed,-0.03806455479074098,0.03806455479074098,5.399039519505808e-09,23479
auto_quantile_0.1_5_1_processed,-0.03806455479074098,0.03806455479074098,5.399039519505808e-09,23479
auto_quantile_0.25_5_1_processed,-0.03702128378221131,0.03702128378221131,1.3920642522214787e-08,23479
auto_quantile_0.25_5_processed,-0.03702128378221131,0.03702128378221131,1.3920642522214787e-08,23479
auto_low_log_return_5_processed,-0.0370110420308897,0.0370110420308897,1.4048941729383801e-08,23479
auto_low_log_return_5_1_processed,-0.0370110420308897,0.0370110420308897,1.4048941729383801e-08,23479
auto_low_ratio_5_1_processed,-0.03687339308231825,0.03687339308231825,1.5888813896806917e-08,23479
auto_low_ratio_5_processed,-0.03687339308231825,0.03687339308231825,1.5888813896806917e-08,23479
macd_hist_processed,0.03676102230306193,0.03676102230306193,1.7562407646163222e-08,23479
auto_ma_5_1_processed,-0.036667042258844894,0.036667042258844894,1.9092463114453152e-08,23479
auto_ma_5_processed,-0.036667042258844894,0.036667042258844894,1.9092463114453152e-08,23479
auto_quantile_0.1_10_1_processed,-0.036318827941557254,0.036318827941557254,2.597237656602556e-08,23479
auto_quantile_0.1_10_processed,-0.036318827941557254,0.036318827941557254,2.597237656602556e-08,23479
auto_volume_ma_ratio_60_1_processed,0.036114260033667335,0.036114260033667335,3.10788375851307e-08,23479
auto_volume_ma_ratio_60_processed,0.036114260033667335,0.036114260033667335,3.10788375851307e-08,23479
auto_quantile_0.75_5_processed,-0.03583989482815443,0.03583989482815443,3.9478526134206746e-08,23479
auto_quantile_0.75_5_1_processed,-0.03583989482815443,0.03583989482815443,3.9478526134206746e-08,23479
auto_quantile_0.9_5_processed,-0.035731895325281836,0.035731895325281836,4.335633196419799e-08,23479
auto_quantile_0.9_5_1_processed,-0.035731895325281836,0.035731895325281836,4.335633196419799e-08,23479
mom_5_processed,-0.03551946626578948,0.03551946626578948,5.208972783216978e-08,23479
auto_kurtosis_10_processed,0.03528583451253044,0.03528583451253044,6.366317494388362e-08,23479
auto_kurtosis_10_1_processed,0.03528583451253044,0.03528583451253044,6.366317494388362e-08,23479
auto_quantile_0.1_20_processed,-0.03495535359524705,0.03495535359524705,8.43760296783801e-08,23479
auto_quantile_0.1_20_1_processed,-0.03495535359524705,0.03495535359524705,8.43760296783801e-08,23479
auto_amount_ma_30_processed,-0.03491922973834383,0.03491922973834383,8.70011284450425e-08,23479
auto_amount_ma_30_1_processed,-0.03491922973834383,0.03491922973834383,8.70011284450425e-08,23479
auto_quantile_0.25_30_processed,-0.03491503533463198,0.03491503533463198,8.731100858164345e-08,23479
auto_quantile_0.25_30_1_processed,-0.03491503533463198,0.03491503533463198,8.731100858164345e-08,23479
auto_skew_20_processed,0.03457937435528282,0.03457937435528282,1.1589693878626702e-07,23479
auto_skew_20_1_processed,0.03457937435528282,0.03457937435528282,1.1589693878626702e-07,23479
auto_close_log_return_5_processed,-0.03457873793779024,0.03457873793779024,1.1595890811770753e-07,23479
auto_close_log_return_5_1_processed,-0.03457873793779024,0.03457873793779024,1.1595890811770753e-07,23479
auto_volume_price_corr_auto_5_processed,-0.03437356351202813,0.03437356351202813,1.377012882227797e-07,23479
