factor,ic,ic_abs,p_value,n_obs
auto_volatility_20_processed,0.0843882807515693,0.0843882807515693,2.2560182375378396e-38,23479
auto_volatility_20_1_processed,0.0843882807515693,0.0843882807515693,2.2560182375378396e-38,23479
hist_vol_60_processed,-0.07306209724592114,0.07306209724592114,3.6588953845094903e-29,23479
hist_vol_20_processed,0.07258595649116122,0.07258595649116122,8.347747116676819e-29,23479
auto_kurtosis_20_1_processed,0.07179162383336064,0.07179162383336064,3.2658033780004036e-28,23479
auto_kurtosis_20_processed,0.07179162383336064,0.07179162383336064,3.2658033780004036e-28,23479
rsi_12_processed,0.06157984386870304,0.06157984386870304,3.579469083025069e-21,23479
highest_lowest_pos_processed,0.0591006506359148,0.0591006506359148,1.265049118179678e-19,23479
auto_open_ratio_60_1_processed,-0.056831451634345866,0.056831451634345866,2.9131644509566015e-18,23479
auto_open_ratio_60_processed,-0.056831451634345866,0.056831451634345866,2.9131644509566015e-18,23479
auto_open_log_return_60_processed,-0.056346335021794355,0.056346335021794355,5.6078337697363434e-18,23479
auto_open_log_return_60_1_processed,-0.056346335021794355,0.056346335021794355,5.6078337697363434e-18,23479
auto_volume_price_corr_auto_20_processed,-0.05611742426418171,0.05611742426418171,7.623906177949117e-18,23479
auto_vol_price_corr_20_1_processed,-0.05611742426418171,0.05611742426418171,7.623906177949117e-18,23479
auto_vol_price_corr_20_processed,-0.05611742426418171,0.05611742426418171,7.623906177949117e-18,23479
auto_low_ratio_60_1_processed,-0.054113239845463096,0.054113239845463096,1.0647442328044391e-16,23479
auto_low_ratio_60_processed,-0.054113239845463096,0.054113239845463096,1.0647442328044391e-16,23479
auto_low_log_return_60_processed,-0.053767853688112696,0.053767853688112696,1.6613374174274386e-16,23479
auto_low_log_return_60_1_processed,-0.053767853688112696,0.053767853688112696,1.6613374174274386e-16,23479
ma_dev_20_processed,0.05231008390871841,0.05231008390871841,1.053459310638597e-15,23479
