factor,ir,ic
auto_amount_ma_30_processed,0.3454661617069575,-0.03491922973834383
auto_amount_ma_30_1_processed,0.3454661617069575,-0.03491922973834383
auto_std_60_processed,0.23080072998954732,-0.03978620734765691
auto_std_60_1_processed,0.23080072998954732,-0.03978620734765691
auto_quantile_0.25_30_1_processed,0.22561207893036206,-0.03491503533463198
auto_quantile_0.25_30_processed,0.22561207893036206,-0.03491503533463198
auto_std_ratio_5_processed,0.21040142241000998,0.03963620047140735
auto_std_ratio_5_1_processed,0.21040142241000998,0.03963620047140735
auto_volatility_20_processed,0.20527446365279808,0.0843882807515693
auto_volatility_20_1_processed,0.20527446365279808,0.0843882807515693
hist_vol_20_processed,0.18063324385007476,0.07258595649116122
auto_quantile_0.1_20_1_processed,0.14095539413692926,-0.03495535359524705
auto_quantile_0.1_20_processed,0.14095539413692926,-0.03495535359524705
auto_skew_20_processed,0.13927376915376027,0.03457937435528282
auto_skew_20_1_processed,0.13927376915376027,0.03457937435528282
auto_volatility_60_1_processed,0.10798706335614514,-0.0508661023407303
auto_volatility_60_processed,0.10798706335614514,-0.0508661023407303
auto_kurtosis_20_1_processed,0.09089985981704404,0.07179162383336064
auto_kurtosis_20_processed,0.09089985981704404,0.07179162383336064
amihud_processed,0.04967208559262273,0.03927647759233219
hist_vol_60_processed,0.017730016299608554,-0.07306209724592114
auto_volatility_10_processed,0.015504397296820684,0.04319604719813345
auto_volatility_10_1_processed,0.015504397296820684,0.04319604719813345
auto_kurtosis_10_1_processed,-0.014313284623800073,0.03528583451253044
auto_kurtosis_10_processed,-0.014313284623800073,0.03528583451253044
auto_quantile_0.1_10_processed,-0.016671106529309664,-0.036318827941557254
auto_quantile_0.1_10_1_processed,-0.016671106529309664,-0.036318827941557254
auto_quantile_0.75_5_processed,-0.1786376184802232,-0.03583989482815443
auto_quantile_0.75_5_1_processed,-0.1786376184802232,-0.03583989482815443
auto_vol_price_corr_20_processed,-0.1788923646013527,-0.05611742426418171
auto_vol_price_corr_20_1_processed,-0.1788923646013527,-0.05611742426418171
auto_volume_price_corr_auto_20_processed,-0.1788923646013527,-0.05611742426418171
auto_quantile_0.9_5_1_processed,-0.18813295843678812,-0.035731895325281836
auto_quantile_0.9_5_processed,-0.18813295843678812,-0.035731895325281836
auto_quantile_0.25_5_1_processed,-0.19669350636111055,-0.03702128378221131
auto_quantile_0.25_5_processed,-0.19669350636111055,-0.03702128378221131
auto_ma_5_1_processed,-0.20158880218972364,-0.036667042258844894
auto_ma_5_processed,-0.20158880218972364,-0.036667042258844894
auto_quantile_0.1_5_processed,-0.21296983302436154,-0.03806455479074098
auto_quantile_0.1_5_1_processed,-0.21296983302436154,-0.03806455479074098
auto_volume_ma_ratio_20_1_processed,-0.21332373491676976,0.04046473236684451
auto_volume_ma_ratio_20_processed,-0.21332373491676976,0.04046473236684451
auto_volume_ma_ratio_60_1_processed,-0.22111937110166455,0.036114260033667335
auto_volume_ma_ratio_60_processed,-0.22111937110166455,0.036114260033667335
auto_amount_ma_ratio_20_1_processed,-0.31981205213252434,0.04135837245907185
auto_amount_ma_ratio_20_processed,-0.31981205213252434,0.04135837245907185
auto_volume_ma_ratio_30_1_processed,-0.32655266860475396,0.04086964863780935
auto_volume_ma_ratio_30_processed,-0.32655266860475396,0.04086964863780935
auto_vol_price_corr_10_processed,-0.3343623530242272,-0.0454978467308418
auto_vol_price_corr_10_1_processed,-0.3343623530242272,-0.0454978467308418
auto_volume_price_corr_auto_10_processed,-0.3343623530242272,-0.0454978467308418
auto_vol_price_corr_5_1_processed,-0.34245445174125666,-0.03437356351202813
auto_volume_price_corr_auto_5_processed,-0.34245445174125666,-0.03437356351202813
auto_vol_price_corr_5_processed,-0.34245445174125666,-0.03437356351202813
auto_open_ratio_60_processed,-0.37496168105820077,-0.056831451634345866
auto_open_ratio_60_1_processed,-0.37496168105820077,-0.056831451634345866
auto_open_log_return_60_processed,-0.38235781953576103,-0.056346335021794355
auto_open_log_return_60_1_processed,-0.38235781953576103,-0.056346335021794355
auto_ma_cross_20_1_processed,-0.4092509251789445,0.04645327219664149
auto_ma_cross_20_processed,-0.4092509251789445,0.04645327219664149
auto_low_ratio_60_1_processed,-0.41841424102751146,-0.054113239845463096
auto_low_ratio_60_processed,-0.41841424102751146,-0.054113239845463096
auto_low_log_return_60_processed,-0.42895145999125733,-0.053767853688112696
auto_low_log_return_60_1_processed,-0.42895145999125733,-0.053767853688112696
auto_high_ratio_60_processed,-0.4320384503062707,-0.05213989239205868
auto_high_ratio_60_1_processed,-0.4320384503062707,-0.05213989239205868
auto_amount_ma_ratio_30_processed,-0.4387779395483022,0.041554917968146844
auto_amount_ma_ratio_30_1_processed,-0.4387779395483022,0.041554917968146844
auto_high_log_return_60_1_processed,-0.4428227760773028,-0.05157944882293746
auto_high_log_return_60_processed,-0.4428227760773028,-0.05157944882293746
auto_close_ratio_60_1_processed,-0.4846661473649895,-0.05091041785920128
auto_close_ratio_60_processed,-0.4846661473649895,-0.05091041785920128
auto_close_log_return_60_processed,-0.49684740496189483,-0.050350612294363155
auto_close_log_return_60_1_processed,-0.49684740496189483,-0.050350612294363155
macd_hist_processed,-0.81471702950483,0.03676102230306193
rsi_24_processed,-0.8148745959127048,0.04519214995097149
mom_20_processed,-0.8347926206968699,-0.04096524995172954
highest_lowest_pos_processed,-0.8433152119980228,0.0591006506359148
auto_open_ratio_5_processed,-0.8590543645699602,-0.04206754441625553
auto_open_ratio_5_1_processed,-0.8590543645699602,-0.04206754441625553
auto_open_log_return_5_processed,-0.8612374002481274,-0.04223892049079983
auto_open_log_return_5_1_processed,-0.8612374002481274,-0.04223892049079983
auto_high_ratio_5_1_processed,-0.9039716511066527,-0.03967069738686281
