factor,ic,ir,IR_weight,equal_weight,weight_type
auto_kurtosis_20,0.07179162383336064,0.09089985981704404,0.027717095996965885,0.05,IR
hist_vol_60,-0.07306209724592114,0.017730016299608554,0.005406219160217851,0.05,IR
auto_volatility_20,0.0843882807515693,0.20527446365279808,0.062592087889265,0.05,IR
hist_vol_20,0.07258595649116122,0.18063324385007476,0.055078511343282725,0.05,IR
auto_volatility_60,-0.0508661023407303,0.10798706335614514,0.03292730932145505,0.05,IR
auto_std_60_1,-0.03978620734765691,0.23080072998954732,0.07037553195533755,0.05,IR
auto_amount_ma_30,-0.03491922973834383,0.3454661617069575,0.10533920279973495,0.05,IR
auto_open_ratio_60,-0.056831451634345866,-0.37496168105820077,0.0,0.05,IR
auto_quantile_0.75_30,-0.03292140258044634,0.25520518267266623,0.07781691370370178,0.05,IR
auto_amount_ma_60,-0.025765646483675228,0.3952404686305176,0.12051633559135319,0.05,IR
auto_skew_30_1,0.033589260691833156,0.2146886441825961,0.06546265057222585,0.05,IR
auto_kurtosis_20_1,0.07179162383336064,0.09089985981704404,0.027717095996965885,0.05,IR
auto_volatility_20_1,0.0843882807515693,0.20527446365279808,0.062592087889265,0.05,IR
auto_volatility_60_1,-0.0508661023407303,0.10798706335614514,0.03292730932145505,0.05,IR
auto_std_60,-0.03978620734765691,0.23080072998954732,0.07037553195533755,0.05,IR
auto_amount_ma_30_1,-0.03491922973834383,0.3454661617069575,0.10533920279973495,0.05,IR
auto_open_ratio_60_1,-0.056831451634345866,-0.37496168105820077,0.0,0.05,IR
auto_open_log_return_60,-0.056346335021794355,-0.38235781953576103,0.0,0.05,IR
auto_open_log_return_60_1,-0.056346335021794355,-0.38235781953576103,0.0,0.05,IR
auto_quantile_0.75_30_1,-0.03292140258044634,0.25520518267266623,0.07781691370370178,0.05,IR
