factor_name,rank,is_selected
auto_kurtosis_20_processed,1,1
hist_vol_60_processed,2,1
auto_volatility_20_processed,3,1
hist_vol_20_processed,4,1
auto_volatility_60_processed,5,1
auto_std_60_1_processed,6,1
auto_amount_ma_30_processed,7,1
auto_open_ratio_60_processed,8,1
auto_quantile_0.75_30_processed,9,1
auto_amount_ma_60_processed,10,1
auto_skew_30_1_processed,11,1
auto_kurtosis_20_1_processed,12,1
auto_volatility_20_1_processed,13,1
auto_volatility_60_1_processed,14,1
auto_std_60_processed,15,1
auto_amount_ma_30_1_processed,16,1
auto_open_ratio_60_1_processed,17,1
auto_open_log_return_60_processed,18,1
auto_open_log_return_60_1_processed,19,1
auto_quantile_0.75_30_1_processed,20,1
