factor,optimal_weight,method
auto_kurtosis_20,2.0811531779764417e-06,Genetic_Algorithm
hist_vol_60,6.933571575646827e-08,Genetic_Algorithm
auto_volatility_20,1.9437422549978638e-07,Genetic_Algorithm
hist_vol_20,6.73893172539517e-08,Genetic_Algorithm
auto_volatility_60,7.655863302196236e-08,Genetic_Algorithm
auto_std_60_1,9.302831933479205e-05,Genetic_Algorithm
auto_amount_ma_30,4.918717535272102e-05,Genetic_Algorithm
auto_open_ratio_60,4.267790590264903e-07,Genetic_Algorithm
auto_quantile_0.75_30,0.5084686071145619,Genetic_Algorithm
auto_amount_ma_60,2.1417368636699506e-05,Genetic_Algorithm
auto_skew_30_1,2.738674810190167e-07,Genetic_Algorithm
auto_kurtosis_20_1,7.003246907636363e-07,Genetic_Algorithm
auto_volatility_20_1,3.960402510619445e-08,Genetic_Algorithm
auto_volatility_60_1,4.627712000244657e-07,Genetic_Algorithm
auto_std_60,0.00013494373384790448,Genetic_Algorithm
auto_amount_ma_30_1,0.0018532627720578344,Genetic_Algorithm
auto_open_ratio_60_1,7.445258896032163e-07,Genetic_Algorithm
auto_open_log_return_60,1.585441224101793e-07,Genetic_Algorithm
auto_open_log_return_60_1,2.1321434111735582e-07,Genetic_Algorithm
auto_quantile_0.75_30_1,0.4893731657875446,Genetic_Algorithm
