,body_ratio_processed,hist_vol_20_processed,atr_14_processed,amihud_processed,hist_vol_60_processed,vr_5_processed,vr_10_processed,upper_shadow_processed,lower_shadow_processed,volume_price_corr_processed
body_ratio_processed,1.0,0.044656162206551206,-0.009242442498468628,0.5151794905775684,0.0339111176077097,0.1299013718885843,0.10527121468018079,-0.6637622933714197,-0.6060657000018088,-0.02642738457266594
hist_vol_20_processed,0.044656162206551206,1.0,0.3681441875471181,0.19974632624559557,0.7252778824134629,-0.07117419849925022,-0.06707986524951602,-0.02456711426473236,-0.03287368427786646,0.015486835040097032
atr_14_processed,-0.009242442498468628,0.3681441875471181,1.0,0.11425057962073938,0.36637835506362126,-0.059608222719603726,-0.0570421175093803,0.017472155739782492,-0.006083603826491245,0.016534870054592178
amihud_processed,0.5151794905775684,0.19974632624559557,0.11425057962073938,1.0,0.1647699997021752,0.2422192576530787,0.2521210146737671,-0.3255696946476206,-0.3304166528528151,-0.05270290937798627
hist_vol_60_processed,0.0339111176077097,0.7252778824134629,0.36637835506362126,0.1647699997021752,1.0,-0.040005554945462866,-0.050521102755690495,-0.013693554011404475,-0.03005937886272764,0.010660685049557589
vr_5_processed,0.1299013718885843,-0.07117419849925022,-0.059608222719603726,0.2422192576530787,-0.040005554945462866,1.0,0.838955287490701,-0.06278198043764903,-0.10399520366155761,-0.05279256657500384
vr_10_processed,0.10527121468018079,-0.06707986524951602,-0.0570421175093803,0.2521210146737671,-0.050521102755690495,0.838955287490701,1.0,-0.05057781128251414,-0.08469190385843645,-0.05872410310398693
upper_shadow_processed,-0.6637622933714197,-0.02456711426473236,0.017472155739782492,-0.3255696946476206,-0.013693554011404475,-0.06278198043764903,-0.05057781128251414,1.0,-0.19252253428759486,0.05807439612743813
lower_shadow_processed,-0.6060657000018088,-0.03287368427786646,-0.006083603826491245,-0.3304166528528151,-0.03005937886272764,-0.10399520366155761,-0.08469190385843645,-0.19252253428759486,1.0,-0.027125630687292804
volume_price_corr_processed,-0.02642738457266594,0.015486835040097032,0.016534870054592178,-0.05270290937798627,0.010660685049557589,-0.05279256657500384,-0.05872410310398693,0.05807439612743813,-0.027125630687292804,1.0
