factor,ic,ic_abs
hist_vol_60_processed,-0.07306209724592114,0.07306209724592114
hist_vol_20_processed,0.07258595649116122,0.07258595649116122
rsi_12_processed,0.06157984386870304,0.06157984386870304
highest_lowest_pos_processed,0.0591006506359148,0.0591006506359148
ma_dev_20_processed,0.05231008390871841,0.05231008390871841
rsi_24_processed,0.04519214995097149,0.04519214995097149
mom_20_processed,-0.04096524995172954,0.04096524995172954
amihud_processed,0.03927647759233219,0.03927647759233219
bollinger_band_processed,0.038444431886775,0.038444431886775
macd_hist_processed,0.03676102230306193,0.03676102230306193
mom_5_processed,-0.03551946626578948,0.03551946626578948
obv_processed,-0.026492748387326723,0.026492748387326723
macd_signal_processed,-0.02620195795683971,0.02620195795683971
log_amount_processed,-0.023902712631155117,0.023902712631155117
ma_dev_60_processed,0.022742840392672332,0.022742840392672332
macd_processed,-0.0217294238160094,0.0217294238160094
body_ratio_processed,0.02078873854459463,0.02078873854459463
vr_10_processed,0.01712405384974377,0.01712405384974377
lower_shadow_processed,-0.016698535847031605,0.016698535847031605
vr_5_processed,0.012015889699710154,0.012015889699710154
rsi_6_processed,-0.008674620809051622,0.008674620809051622
upper_shadow_processed,-0.007208747188576494,0.007208747188576494
volume_price_corr_processed,0.004216776676358329,0.004216776676358329
atr_14_processed,-0.003908626274273849,0.003908626274273849
ma_dev_5_processed,-0.002084580749561094,0.002084580749561094
mom_10_processed,8.131617656197182e-05,8.131617656197182e-05
