factor,ir
body_ratio_processed,0.1910611000929818
hist_vol_20_processed,0.18063324385007476
atr_14_processed,0.15722063648103196
amihud_processed,0.04967208559262273
hist_vol_60_processed,0.017730016299608554
vr_5_processed,-0.018639921759923433
vr_10_processed,-0.061032104686687544
upper_shadow_processed,-0.08921167335442591
lower_shadow_processed,-0.14311236807904995
volume_price_corr_processed,-0.16544010379127888
macd_signal_processed,-0.23303939024411266
obv_processed,-0.33679488132352514
log_amount_processed,-0.4981134520804079
macd_processed,-0.6073704196644248
ma_dev_60_processed,-0.7584864908926133
macd_hist_processed,-0.81471702950483
rsi_24_processed,-0.8148745959127048
mom_20_processed,-0.8347926206968699
highest_lowest_pos_processed,-0.8433152119980228
ma_dev_5_processed,-0.8846696148352886
rsi_12_processed,-0.906568103553703
rsi_6_processed,-0.9572653111486992
mom_10_processed,-0.9618177180688324
mom_5_processed,-0.970966888837387
bollinger_band_processed,-1.0112601775268844
ma_dev_20_processed,-1.1210012762514285
