factor,monotonicity,is_monotonic
rsi_6_processed,0.0,False
rsi_12_processed,0.9999999999999999,True
rsi_24_processed,0.09999999999999999,False
macd_processed,-0.3,False
macd_signal_processed,-0.09999999999999999,False
macd_hist_processed,0.7999999999999999,True
mom_5_processed,-0.09999999999999999,False
mom_10_processed,0.7,False
mom_20_processed,-0.3,False
ma_dev_5_processed,0.39999999999999997,False
ma_dev_20_processed,0.9999999999999999,True
ma_dev_60_processed,0.49999999999999994,False
atr_14_processed,0.3,False
hist_vol_20_processed,0.6,False
hist_vol_60_processed,-0.8999999999999998,True
bollinger_band_processed,0.7999999999999999,True
vr_5_processed,0.7,False
vr_10_processed,0.7,False
obv_processed,-0.09999999999999999,False
volume_price_corr_processed,-0.09999999999999999,False
highest_lowest_pos_processed,0.8999999999999998,True
upper_shadow_processed,-0.3,False
lower_shadow_processed,0.09999999999999999,False
body_ratio_processed,0.09999999999999999,False
amihud_processed,0.8999999999999998,True
log_amount_processed,-0.09999999999999999,False
